10_sample_serial_no,10_date,10_requisitioner,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_remarks,10_id_lab,10_remarks
30,45789,Genetic bank,Jorge Peñafiel,14,F24-3638,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,,OT-036,
31,45789,LMF,,14,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,
32,45789,LMF,,14,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,
33,45789,LMF,,14,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,
34,45798,Genetic bank,Jorge Peñafiel,15,F24-3639,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,,OT-036,
35,45798,Genetic bank,Jorge Peñafiel,15,F24-3640,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,,OT-036,
36,45798,Genetic bank,Jorge Peñafiel,15,F24-3641,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,,OT-036,
37,45798,Genetic bank,Jorge Peñafiel,15,F24-3642,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,,OT-036,
38,45798,Genetic bank,Jorge Peñafiel,15,F24-3644,ABC-18708,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,,OT-036,
39,45798,Genetic bank,Jorge Peñafiel,15,F24-3645,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,,OT-036,
40,45798,Genetic bank,Jorge Peñafiel,15,F24-3646,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,,OT-036,
41,45798,Genetic bank,Jorge Peñafiel,15,F24-3647,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,,OT-036,
42,45798,Genetic bank,Jorge Peñafiel,15,F24-3648,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,,OT-036,
43,45798,Genetic bank,Jorge Peñafiel,15,F24-3650,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,,OT-036,
44,45798,Genetic bank,Jorge Peñafiel,15,F24-3651,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,,OT-036,
45,45798,Genetic bank,Jorge Peñafiel,15,F24-3652,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,,OT-036,
46,45798,Genetic bank,Jorge Peñafiel,15,F24-3653,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,,OT-036,
47,45798,Genetic bank,Jorge Peñafiel,15,F24-3654,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,,OT-036,
48,45798,Genetic bank,Jorge Peñafiel,15,F24-3655,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,,OT-036,
49,45798,Genetic bank,Jorge Peñafiel,15,F24-3656,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,,OT-036,
50,45798,Genetic bank,Jorge Peñafiel,15,F24-3657,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,,OT-036,
51,45798,Genetic bank,Jorge Peñafiel,15,F24-3658,ABC-22784,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,,OT-036,
52,45798,Genetic bank,Jorge Peñafiel,15,F24-3659,ABC-25113,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,,OT-036,
53,45798,Genetic bank,Jorge Peñafiel,15,F24-3660,ABC-33114,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Shrub,,OT-036,
54,45798,Genetic bank,Jorge Peñafiel,15,F24-3662,ABC-43477,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,,OT-036,
55,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3539,ABC-172-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,,OT-033,
56,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,Eliminado,OT-033,
57,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,Eliminado,OT-033,
58,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3542,ABC-1650-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,,OT-033,
59,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3543,ABC-1706-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,,OT-033,
60,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3544,ABC-1727-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,,OT-033,
61,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3545,ABC-1803-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,Eliminado,OT-033,
62,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3546,ABC-1964-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,,OT-033,
63,45798,Genetic bank,Juan Jose Gonzáles,15,F24-3547,ABC-2613-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,,OT-033,
64,45798,LMF,,15,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,
65,45798,LMF,,15,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,
66,45798,LMF,,15,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,
67,45811,Breding ,María José Garzón Gurial,16,F25-1701,CIAT-BR12_1362,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
68,45811,Breding ,María José Garzón Gurial,16,F25-1702,CIAT-BR12_2462,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
69,45811,Breding ,María José Garzón Gurial,16,F25-1703,CIAT-BR12_3868,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
70,45811,Breding ,María José Garzón Gurial,16,F25-1704,CIAT-BR15_2558,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
71,45811,Breding ,María José Garzón Gurial,16,F25-1705,CIAT-BR15_2811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
72,45811,Breding ,María José Garzón Gurial,16,F25-1706,CIAT-BR15_2891,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
73,45811,Breding ,María José Garzón Gurial,16,F25-1707,CIAT-BR19_1343,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
74,45811,Breding ,María José Garzón Gurial,16,F25-1708,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
75,45811,Breding ,María José Garzón Gurial,16,F25-1709,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
76,45811,Breding ,María José Garzón Gurial,16,F25-1710,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
77,45811,Breding ,María José Garzón Gurial,16,F25-1711,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
78,45811,Breding ,María José Garzón Gurial,16,F25-1712,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
79,45811,Breding ,María José Garzón Gurial,16,F25-1713,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
80,45811,Breding ,María José Garzón Gurial,16,F25-1714,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
81,45811,Breding ,María José Garzón Gurial,16,F25-1715,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
82,45811,Breding ,María José Garzón Gurial,16,F25-1716,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
83,45811,Breding ,María José Garzón Gurial,16,F25-1717,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
84,45811,Breding ,María José Garzón Gurial,16,F25-1718,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
85,45811,Breding ,María José Garzón Gurial,16,F25-1719,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
86,45811,Breding ,María José Garzón Gurial,16,F25-1720,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
87,45811,Breding ,María José Garzón Gurial,16,F25-1721,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
88,45811,Breding ,María José Garzón Gurial,16,F25-1722,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
89,45811,Breding ,María José Garzón Gurial,16,F25-1723,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
90,45811,Breding ,María José Garzón Gurial,16,F25-1724,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
91,45811,Breding ,María José Garzón Gurial,16,F25-1725,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
92,45811,Breding ,María José Garzón Gurial,16,F25-1726,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
93,45811,Breding ,María José Garzón Gurial,16,F25-1727,CIAT-CIAT_26124,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,,OT-009,
94,45811,LMF,,16,F25-2076,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,Muestra liofilizada ,OT-012,
95,45811,LMF-invivo,,16,F25-2122,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,Muestra Henificada,OT-014,
96,45811,LMF,,16,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,
97,45811,LMF,,16,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,
98,45811,LMF,,16,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,
99,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0929,ABC-15474,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
100,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0930,ABC-15470,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
101,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0931,ABC-13268,Tadehagi,triquetrum,Tadehagi triquetrum,Fabaceae,Fabales,Herbaceous,,OT-005,"30,31,32"
102,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0932,ABC-22768,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
103,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0933,ABC-22770,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
104,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0934,ABC-18701,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
105,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0935,ABC-20891,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
106,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0936,ABC-5172,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
107,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0937,ABC-5452,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
108,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0938,ABC-5733,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
109,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0939,ABC-5735,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
110,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0940,ABC-5749,Centrosema,plumieri,Centrosema plumieri,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
111,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0941,ABC-5911,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
112,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0942,ABC-13692,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
113,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0943,ABC-15121,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
114,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0944,ABC-15150,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
115,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0945,ABC-15154,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
116,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0946,ABC-15561,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
117,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0947,ABC-15799,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
118,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0948,ABC-15816,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
119,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0949,ABC-20304,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
120,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0950,ABC-21603,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,,OT-005,"30,31,32"
121,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0951,ABC-23248,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
122,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0952,ABC-23271,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
123,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0953,ABC-23279,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
124,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,Eliminado,OT-005,"30,31,32"
125,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0955,ABC-33255,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
126,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0956,ABC-33428,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
127,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0957,ABC-33451,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
128,45826,Genetic bank,Jorge E.  Peñafiel,17,F25-0958,ABC-33463,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,OT-005,"30,31,32"
129,45826,LMF,,17,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,,OT-002,"30,31,32"
130,45826,LMF,,17,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,OT-002,"30,31,32"
131,45826,LMF,,17,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,OT-001,"30,31,32"
132,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0959,ABC-350,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
133,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0960,ABC-3187,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,,OT-005,"33,34,35"
134,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0961,ABC-4028,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
135,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0962,ABC-5277,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
136,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0963,ABC-7227,Galactia,texana,Galactia texana,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
137,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0964,ABC-8013,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
138,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0965,ABC-8156,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
139,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0966,ABC-9323,Crotalaria,vitellina,Crotalaria vitellina,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
140,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0967,ABC-9537,Crotalaria,sagittalis,Crotalaria sagittalis,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
141,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0968,ABC-9690,Aeschynomene,histrix,Aeschynomene histrix,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
142,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0969,ABC-9900,Pueraria,phaseoloides,Pueraria phaseoloides,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
143,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0970,ABC-11998,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
144,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,Eliminado,OT-005,"33,34,35"
145,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0972,ABC-13389,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
146,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0973,ABC-13651,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
147,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,Eliminado,OT-005,"33,34,35"
148,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0975,ABC-15160,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
149,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0976,ABC-17000,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
150,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0977,ABC-17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,,OT-005,"33,34,35"
151,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0978,ABC-18700,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,,OT-005,"33,34,35"
152,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0979,ABC-18873,Alysicarpus,ferrugineus,Alysicarpus ferrugineus,Fabaceae,Fabales,Herbaceous,,OT-005,"33,34,35"
153,45845,Genetic bank,Jorge E.  Peñafiel,18,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,Eliminado,OT-005,"33,34,35"
