group,CH4_in_24h,CH4_DMD_24h
Herbaceous_legume,19.51,44.51
Shrub,16.50,31.77
Shrub,20.31,42.84
Shrub,20.54,49.55
Herbaceous_legume,20.77,40.72
Shrub,9.06,24.79
Shrub,13.77,35.36
Climber,20.63,50.72
Climber,22.29,43.14
Climber,21.44,45.37
Climber,21.10,44.61
Shrub,21.09,43.41
Herbaceous_legume,24.14,41.67
Shrub,32.63,53.04
Shrub,19.24,37.41
Shrub,33.85,50.95
Shrub,28.34,57.36
Shrub,18.86,35.07
Herbaceous_legume,14.71,33.56
Climber,19.32,37.12
Herbaceous_legume,19.08,31.71
Climber,23.62,50.74
Climber,23.28,53.31
Climber,23.37,90.84
Herbaceous_legume,24.73,52.89
Shrub,22.59,45.70
Shrub,18.63,70.23
Herbaceous_legume,19.15,46.27
Shrub,13.35,37.06
Shrub,13.35,31.70
Shrub,25.93,59.76
Shrub,24.31,45.76
Herbaceous_legume,22.01,39.06
Shrub,24.44,58.96
Shrub,24.66,49.67
Shrub,27.21,51.71
Shrub,26.89,48.74
Shrub,24.19,40.47
Shrub,25.52,44.85
Shrub,21.48,64.36
Herbaceous_legume,21.76,59.59
Herbaceous_legume,16.27,66.10
Herbaceous_legume,14.72,39.25
Herbaceous_legume,19.93,45.50
Herbaceous_legume,16.31,48.73
Herbaceous_legume,23.80,63.99
Climber,27.95,42.33
Herbaceous_legume,29.06,41.87
Shrub,25.31,53.15
Climber,19.18,46.47
Climber,16.78,46.74
Climber,21.43,50.55
Climber,21.14,37.06
Climber,17.67,38.76
Climber,23.29,37.79
Climber,11.74,34.38
Climber,18.68,39.23
Climber,19.27,58.91
Climber,14.50,41.49
Climber,17.55,54.17
Climber,23.43,42.49
Climber,24.45,44.18
Climber,23.90,48.61
Climber,17.11,48.94
Climber,23.96,53.35
Climber,24.04,54.96
Herbaceous_legume,23.36,31.84
Herbaceous_legume,23.89,36.44
Climber,25.37,40.73
Herbaceous_legume,22.52,62.36
Climber,23.14,53.78
Climber,18.73,58.44
Herbaceous_legume,17.75,36.64
Climber,22.85,32.97
Climber,19.42,46.70
Climber,29.33,39.25
Herbaceous_legume,17.51,32.89
Climber,19.34,56.30
Climber,28.07,42.97
Herbaceous_legume,22.98,35.43
Shrub,19.98,42.70
Climber,17.08,41.44
Climber,25.30,39.08
Herbaceous_legume,22.83,40.11
Herbaceous_legume,24.40,38.03
Climber,24.42,37.92
Herbaceous_legume,19.22,44.36
Climber,30.19,47.06
Climber,31.70,48.57
Herbaceous_legume,29.75,48.16
Herbaceous_legume,27.35,41.78
Herbaceous_legume,17.37,42.98
Herbaceous_legume,22.36,34.28
Shrub,21.66,51.90
Herbaceous_legume,29.86,40.09
Climber,25.17,61.21
Climber,24.60,36.67
Climber,22.86,47.32
Herbaceous_legume,22.33,43.16
Herbaceous_legume,18.21,73.98
Herbaceous_legume,21.66,70.97
Herbaceous_legume,23.64,39.40
Herbaceous_legume,23.79,51.27
Herbaceous_legume,23.89,38.08
Climber,23.38,44.52
Herbaceous_legume,23.55,36.84
Herbaceous_legume,24.65,51.46
Herbaceous_legume,23.05,45.41
Climber,23.31,68.03
Climber,21.60,47.75
Climber,23.11,55.23
Climber,24.26,35.83
Shrub,19.29,39.30
Herbaceous_legume,20.88,47.10
Herbaceous_legume,26.35,40.71
Climber,21.44,47.24
Climber,25.65,40.88
Climber,23.85,45.98
Shrub,19.76,32.83
Herbaceous_legume,15.99,38.20
Herbaceous_legume,25.73,56.32
Climber,16.50,60.23
Herbaceous_legume,31.24,52.29
Herbaceous_legume,30.40,50.83
Herbaceous_legume,33.31,49.11
Herbaceous_legume,23.26,48.64
Climber,34.64,50.58
Climber,24.19,43.23
Shrub,26.38,49.48
Climber,29.07,57.24
Climber,28.12,46.43
Climber,23.77,46.51
Shrub,19.30,44.69
Herbaceous_legume,34.56,51.12
Herbaceous_legume,18.68,61.08
Climber,26.67,45.45
Herbaceous_legume,12.83,45.13
Herbaceous_legume,24.15,48.23
Herbaceous_legume,14.94,29.71
Climber,26.36,49.79
Herbaceous_legume,34.32,47.26
Grass,32.29,55.72
Grass,31.83,54.41
Grass,31.54,54.44
Grass,31.50,54.39
Grass,29.31,52.18
Grass,33.04,59.52
Grass,21.08,39.15
Grass,18.94,40.90
Grass,32.48,57.31
Grass,32.86,58.26
Grass,19.77,38.74
Grass,31.72,54.88
Grass,17.51,49.04
Grass,24.03,53.95
Grass,17.18,61.82
Grass,32.45,61.34
Grass,20.61,71.46
Grass,17.53,44.02
Grass,31.94,74.21
Grass,30.41,57.30
Grass,28.26,59.34
Grass,16.16,88.57
Grass,15.59,64.57
Grass,16.28,101.59
Grass,17.11,51.05
Grass,25.13,50.70
Grass,31.71,104.35
Grass,17.10,55.24
Grass,24.79,49.10
Grass,27.67,90.93
Grass,24.49,53.42
Grass,28.92,75.96
Grass,32.32,89.53
Grass,22.79,45.11
Grass,15.89,45.65
Grass,30.31,70.34
Grass,21.26,48.95
Grass,22.79,33.83
Grass,22.88,35.77
Grass,21.57,52.16
Grass,21.74,48.33
Grass,23.12,35.98
Grass,24.02,36.04
Grass,20.12,53.58
Grass,23.48,43.33
Grass,22.43,45.13
Grass,21.49,46.40
Grass,18.80,45.90
Grass,25.14,53.68
Grass,23.40,46.01
Grass,17.63,53.11
Grass,21.85,45.79
Grass,23.01,43.64
Grass,18.98,44.02
Grass,22.16,41.00
Grass,23.59,35.76
Grass,22.84,50.73
Grass,22.00,36.15
Grass,19.78,36.65
Grass,20.85,44.57
Grass,18.68,50.69
Grass,16.26,52.43
Grass,21.51,55.11
Grass,22.92,44.54
Grass,17.90,48.04
Grass,17.03,48.14
Grass,22.04,36.06
Grass,19.95,47.59
Grass,19.77,47.70
Grass,21.16,46.09
Grass,19.10,49.44
Grass,24.86,57.38
Grass,23.65,38.23
Grass,23.48,37.16
Grass,17.99,44.91
Grass,19.18,52.50
Grass,17.29,46.53
Grass,15.29,54.60
Grass,21.05,46.38
Grass,18.46,43.98
Grass,19.62,50.68
Grass,22.89,51.21
Grass,20.68,51.17
Grass,23.16,55.77
Grass,21.58,37.06
Grass,21.72,46.56
Grass,21.80,42.34
Grass,23.58,48.72
Grass,24.38,53.87
Grass,19.51,39.16
Grass,33.99,62.30
Grass,20.36,41.66
Grass,18.74,40.08
Grass,20.44,42.83
Grass,18.94,40.69
Grass,22.80,55.79
Grass,25.94,74.58
Grass,24.14,49.08
Grass,30.82,59.60
Grass,28.02,52.61
Grass,23.20,39.79
Grass,22.33,43.51
Grass,25.16,55.42
Grass,21.09,39.06
Grass,30.96,72.00
Grass,21.69,51.97
Grass,24.91,47.38
Grass,22.81,40.73
Grass,22.88,43.15
Grass,22.32,34.27
Grass,24.31,50.93
Grass,23.78,47.43
Grass,24.93,49.04
Grass,22.86,49.43
Grass,23.40,48.85
Grass,23.46,51.57
Grass,21.72,46.10
Grass,21.27,42.97
Grass,19.71,40.95
Grass,23.89,44.58
Grass,25.42,56.00
Grass,23.06,45.20
Grass,21.11,44.43
Grass,23.55,51.77
Grass,23.63,50.84
Grass,23.80,47.15
Grass,24.70,43.25
Grass,22.29,43.70
Grass,22.19,38.41
Grass,21.35,43.95
Grass,23.37,46.88
Grass,21.93,43.44
Grass,21.03,43.90
Grass,22.84,45.99
Grass,29.99,50.38
Grass,21.57,42.16
Grass,32.38,53.10
Grass,28.94,50.51
Grass,22.72,50.76
Grass,22.80,50.57
Grass,22.87,42.03
Grass,21.43,42.84
Grass,28.88,48.19
Grass,24.99,47.31
Grass,22.39,52.89
Grass,23.33,39.60
Grass,22.77,47.73
Grass,22.64,50.46
Grass,21.73,44.91
Grass,21.82,46.72
Grass,19.30,38.06
Grass,30.57,51.36
Grass,21.73,44.46
Grass,22.53,45.83
Grass,22.35,48.81
Grass,22.05,45.05
Grass,22.86,49.14
Shrub,23.19,40.33
Grass,21.10,49.67
