10_sample_serial_no,10_date,10_requisitioner,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_remarks,10_id_lab,10_remarks_2
44,45950,Genetic bank,Jorge Penafiel,24,F25-1679,CIAT-18123,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
45,45950,Genetic bank,Jorge Penafiel,24,F25-1680,CIAT-18126,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
46,45950,Genetic bank,Jorge Penafiel,24,F25-1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
47,45950,Genetic bank,Jorge Penafiel,24,F25-1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
48,45950,Genetic bank,Jorge Penafiel,24,F25-1683,CIAT-19228,Eriosema,psoraleoides,Eriosema psoraleoides,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
49,45950,Genetic bank,Jorge Penafiel,24,F25-1684,CIAT-19537,Crotalaria,verrucosa,Crotalaria verrucosa,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
50,45950,Genetic bank,Jorge Penafiel,24,F25-1685,CIAT-20208,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
51,45950,Genetic bank,Jorge Penafiel,24,F25-1686,CIAT-20345,Pachyrhizus,erosus,Pachyrhizus erosus,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
52,45950,Genetic bank,Jorge Penafiel,24,F25-1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
53,45950,Genetic bank,Jorge Penafiel,24,F25-1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
54,45950,Genetic bank,Jorge Penafiel,24,F25-1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
55,45950,Genetic bank,Jorge Penafiel,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
56,45950,Genetic bank,Jorge Penafiel,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,OT-008,"49,50,51",
57,45950,Genetic bank,Jorge Penafiel,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",ELIMINADA SIN REPETIR
58,45950,Genetic bank,Jorge Penafiel,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
59,45950,Genetic bank,Jorge Penafiel,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
60,45950,Genetic bank,Jorge Penafiel,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
61,45950,Genetic bank,Jorge Penafiel,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
62,45950,Genetic bank,Jorge Penafiel,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
63,45950,Genetic bank,Jorge Penafiel,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",
64,45950,Genetic bank,Jorge Penafiel,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
65,45950,Genetic bank,Jorge Penafiel,24,F25-1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",
66,45950,LMF,,24,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,,,,OT-002,"49,50,51",
67,45950,LMF,,24,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"49,50,51",
68,45950,LMF,,24,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"49,50,51",
69,45959,Benchmark,Alejandra Marín,25,F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-018,"52,53,54",
70,45959,Benchmark,Alejandra Marín,25,F25-2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,"52,53,54",
71,45959,Benchmark,Alejandra Marín,25,F25-2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,OT-018,"52,53,54",
72,45959,Benchmark,Alejandra Marín,25,F25-2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,"52,53,54",
73,45959,Benchmark,Alejandra Marín,25,F25-2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,OT-018,"52,53,54",
74,45959,Benchmark,Alejandra Marín,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,OT-018,"52,53,54",
75,45959,Benchmark,Alejandra Marín,25,F252566,Paja Sabana Madura,,,,Poaceae,Poales,grasses,OT-028,"52,53,54",
76,45959,Benchmark,Alejandra Marín,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-028,"52,53,54",
77,45959,Benchmark,Alejandra Marín,25,F252568,Sabana Quemada,,,,Poaceae,Poales,grasses,OT-028,"52,53,54",
78,45959,Genetic bank,Juan José Gonzalez,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
79,45959,Genetic bank,Juan José Gonzalez,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
80,45959,Genetic bank,Juan José Gonzalez,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
81,45959,Genetic bank,Juan José Gonzalez,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
82,45959,Genetic bank,Juan José Gonzalez,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
83,45959,Genetic bank,Juan José Gonzalez,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
84,45959,Genetic bank,Juan José Gonzalez,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
85,45959,Genetic bank,Juan José Gonzalez,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
86,45959,Genetic bank,Juan José Gonzalez,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
87,45959,Genetic bank,Juan José Gonzalez,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
88,45959,Genetic bank,Juan José Gonzalez,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
89,45959,Genetic bank,Juan José Gonzalez,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
90,45959,Genetic bank,Juan José Gonzalez,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
91,45959,Genetic bank,Juan José Gonzalez,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
92,45959,Genetic bank,Juan José Gonzalez,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
93,45959,Genetic bank,Juan José Gonzalez,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
94,45959,Genetic bank,Juan José Gonzalez,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
95,45959,Genetic bank,Juan José Gonzalez,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
96,45959,Genetic bank,Juan José Gonzalez,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
97,45959,Genetic bank,Juan José Gonzalez,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",
98,45959,LMF-invivo,Isabel Molina,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,,,,,"52,53,54",
99,45959,LMF-invivo,Isabel Molina,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,,,,,"52,53,54",
100,45959,LMF,,25,F25-0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,,,,OT-002,"52,53,54",
101,45959,LMF,,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"52,53,54",
102,45959,LMF,,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"52,53,54",
103,45973,LMF,,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"55,56,57",
104,45973,Benchmark,Alejandra Marín,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,"55,56,57",
105,45973,Benchmark,Alejandra Marín,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,"55,56,57",
106,45973,Benchmark,Alejandra Marín,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,"55,56,57",
107,45973,Benchmark,Alejandra Marín,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,"55,56,57",
108,45973,Benchmark,Alejandra Marín,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,"55,56,57",
109,45973,Breeding,,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
110,45973,Breeding,,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
111,45973,Breeding,,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
112,45973,Breeding,,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
113,45973,Breeding,,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
114,45973,Breeding,,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
115,45973,Breeding,,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
116,45973,Breeding,,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,"55,56,57",
117,45973,Breeding,,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,OT-033,"55,56,57",
118,45973,Breeding,,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,OT-033,"55,56,57",
119,45973,Breeding,,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,OT-033,"55,56,57",
120,45973,LMF,Isabel Molina,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,,,,,"55,56,57",
121,45973,LMF,Isabel Molina,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,,,,,"55,56,57",
122,45973,Genetic bank,Juan José Gonzalez,26,F24-3568,ABC-12115-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
123,45973,Genetic bank,Juan José Gonzalez,26,F24-3569,ABC-12140-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
124,45973,Genetic bank,Juan José Gonzalez,26,F24-3570,ABC-12184-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
125,45973,Genetic bank,Juan José Gonzalez,26,F24-3571,ABC-12202-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
126,45973,Genetic bank,Juan José Gonzalez,26,F24-3572,ABC-12311-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
127,45973,Genetic bank,Juan José Gonzalez,26,F24-3573,ABC-12381-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
128,45973,Genetic bank,Juan José Gonzalez,26,F24-3574,ABC-12374-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
129,45973,Genetic bank,Juan José Gonzalez,26,F24-3575,ABC-12457-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
130,45973,Genetic bank,Juan José Gonzalez,26,F24-3576,ABC-12462-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
131,45973,Genetic bank,Juan José Gonzalez,26,F24-3577,ABC-12485-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
132,45973,Genetic bank,Juan José Gonzalez,26,F24-3578,ABC-12615-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
133,45973,Genetic bank,Juan José Gonzalez,26,F24-3579,ABC-12686-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
134,45973,Genetic bank,Juan José Gonzalez,26,F24-3580,ABC-12710-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
135,45973,Genetic bank,Juan José Gonzalez,26,F24-3581,ABC-12758-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),"55,56,57",
136,45973,LMF,,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer,Heustandard,Hohenheimer Heustandard, Heustandard,Green meal ,,OT-017,"55,56,57",
