22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
314,,,7,F24 3500,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,B,1.0003,0.0003,1,19.8,2.806288443,17.53930277,18.53940369,
315,,,7,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
316,,,7,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
317,,,7,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
318,,,7,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
319,,,7,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
320,,,7,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
321,,,8,F25 0772,ICARDA 165563,Trifolium ,pratense,Trifolium pratense,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
322,,,8,F25 0772,ICARDA 165563,Trifolium ,pratense,Trifolium pratense,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
323,,,8,F25 0783,ICARDA J8,Daucus ,carota,Daucus carota,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
324,,,8,F25 0783,ICARDA J8,Daucus ,carota,Daucus carota,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
325,,,8,F25 0784,ICARDA J9,Fumaria , bracteosa,Fumaria bracteosa,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
326,,,8,F25 0784,ICARDA J9,Fumaria , bracteosa,Fumaria bracteosa,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
327,,,8,F25 0788,ICARDA J13,Cichorium ,pumilum,Cichorium pumilum,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
328,,,8,F25 0788,ICARDA J13,Cichorium ,pumilum,Cichorium pumilum,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
329,,,8,F25 0813,ICARDA T216003,Rhus ,tripartita (Ucria) Grande,Rhus tripartita (Ucria) Grande,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
330,,,8,F25 0813,ICARDA T216003,Rhus ,tripartita (Ucria) Grande,Rhus tripartita (Ucria) Grande,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
331,,,8,F25 0820,ICARDA T216010,Retama ,raetam (Forssk.) Webb.,Retama raetam (Forssk.) Webb.,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
332,,,8,F25 0820,ICARDA T216010,Retama ,raetam (Forssk.) Webb.,Retama raetam (Forssk.) Webb.,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
333,,,8,F25 0823,ILRI 6529 2 119707,Labalab , purpureues,Labalab purpureues,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
334,,,8,F25 0823,ILRI 6529 2 119707,Labalab , purpureues,Labalab purpureues,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
335,,,8,F25 0824,ILRI 10925 3 119708,Arachis , glabrata,Arachis glabrata,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
336,,,8,F25 0824,ILRI 10925 3 119708,Arachis , glabrata,Arachis glabrata,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
337,,,8,F25 0825,ILRI 6984 4 119709,Medicago ,sativa,Medicago sativa,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
338,,,8,F25 0825,ILRI 6984 4 119709,Medicago ,sativa,Medicago sativa,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
339,,,8,F25 0837,ILRI 10920 16 119721,Arachis , pintoi,Arachis pintoi,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
340,,,8,F25 0837,ILRI 10920 16 119721,Arachis , pintoi,Arachis pintoi,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
341,,,8,F25 0839,ILRI 7049 18 119723,Trifolium repens, repens,Trifolium repens,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
342,,,8,F25 0839,ILRI 7049 18 119723,Trifolium repens, repens,Trifolium repens,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
343,,,8,F25 0845,ILRI 21682 24 119729,Leucaena, pallida,Leucaena pallida,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
344,,,8,F25 0845,ILRI 21682 24 119729,Leucaena, pallida,Leucaena pallida,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
345,,,8,F25 0848,ILRI 2273 27 119732,Trifolium ,burchellianum,Trifolium burchellianum,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
346,,,8,F25 0848,ILRI 2273 27 119732,Trifolium ,burchellianum,Trifolium burchellianum,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
347,,,8,F25 0861,ILRI 14539 40 119745,Centrosema , virginianum,Centrosema virginianum,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
348,,,8,F25 0861,ILRI 14539 40 119745,Centrosema , virginianum,Centrosema virginianum,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
349,,,8,F25 0868,ILRI 70 47 120164,Leucaena,leucocephala,Leucaena leucocephala,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
350,,,8,F25 0868,ILRI 70 47 120164,Leucaena,leucocephala,Leucaena leucocephala,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
351,,,8,F25 0873,ILRI 7384 52 120169,Chloris gayana, gayana,Chloris gayana,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
352,,,8,F25 0873,ILRI 7384 52 120169,Chloris gayana, gayana,Chloris gayana,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
353,,,8,F25 0904,CIAT ABC 22752 1,Labalab , purpureues,Labalab purpureues,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
354,,,8,F25 0904,CIAT ABC 22752 1,Labalab , purpureues,Labalab purpureues,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
355,,,8,F25 0908,CIAT ABC 22192 1,Leucaena ,diversifolia,Leucaena diversifolia,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
356,,,8,F25 0908,CIAT ABC 22192 1,Leucaena ,diversifolia,Leucaena diversifolia,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
357,,,8,F25 0913,CIAT ABC 1853 1,Stylosanthes , guianensis,Stylosanthes guianensis,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
358,,,8,F25 0913,CIAT ABC 1853 1,Stylosanthes , guianensis,Stylosanthes guianensis,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
359,,,8,F25 0914,CIAT ABC 10625 1,Stylosanthes, scabra,Stylosanthes scabra,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
360,,,8,F25 0914,CIAT ABC 10625 1,Stylosanthes, scabra,Stylosanthes scabra,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
361,,,8,F25 0926,CIAT ABC 6818 1,Panicum , maximum,Panicum maximum,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
362,,,8,F25 0926,CIAT ABC 6818 1,Panicum , maximum,Panicum maximum,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
363,,,8,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
364,,,8,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
365,,,8,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
366,,,8,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
367,,,8,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
368,,,8,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
369,,,9,F25 0990,ABC-PM21_0053,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.96531353,14.92263771
370,,,9,F25 0990,ABC-PM21_0053,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.87996188,
371,,,9,F25 0991,ABC-PM21_3550,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.61138437,14.63694296
372,,,9,F25 0991,ABC-PM21_3550,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.66250156,
373,,,9,F25 0992,ABC-PM21_3595,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.24606837,14.25983492
374,,,9,F25 0992,ABC-PM21_3595,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.27360147,
375,,,9,F25 0993,ABC-PM21_0086,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.78636094,14.80638782
376,,,9,F25 0993,ABC-PM21_0086,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.82641469,
377,,,9,F25 0994,ABC-CIAT_16048,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,17.38158977,17.3378444
378,,,9,F25 0994,ABC-CIAT_16048,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,17.29409903,
379,,,9,F25 0995,ABC-PM21_0185,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,16.73943327,16.72567444
380,,,9,F25 0995,ABC-PM21_0185,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,16.71191561,
381,,,9,F25 0996,ABC-PM21_0215,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,15.16534338,15.16078345
382,,,9,F25 0996,ABC-PM21_0215,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,15.15622351,
383,,,9,F25 0997,ABC-CIAT_16051,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.95914637,14.91332159
384,,,9,F25 0997,ABC-CIAT_16051,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.8674968,
385,,,9,F25 0998,ABC-PM21_6080,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,18.25157098,18.29048196
386,,,9,F25 0998,ABC-PM21_6080,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,18.32939294,
387,,,9,F25 0999,ABC-PM21_3684,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.74815432,14.78131999
388,,,9,F25 0999,ABC-PM21_3684,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.81448566,
389,,,9,F25 1000,ABC-PM21_0076,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,16.17987857,16.15211492
390,,,9,F25 1000,ABC-PM21_0076,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,16.12435126,
391,,,9,F25 1001,ABC-CIAT_6890,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,15.95943204,15.86572264
392,,,9,F25 1001,ABC-CIAT_6890,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,15.77201324,
393,,,9,F25 1002,ABC-PM21_6638,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.34328359,14.2420424
394,,,9,F25 1002,ABC-PM21_6638,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.14080122,
395,,,9,F25 1003,ABC-PM21_0052,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,15.22455413,15.40599
396,,,9,F25 1003,ABC-PM21_0052,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,15.58742586,
397,,,9,F25 1004,ABC-PM21_4449,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.59080653,14.53670485
398,,,9,F25 1004,ABC-PM21_4449,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.48260316,
399,,,9,F25 1005,ABC-CIAT_6799,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,13.53725897,13.54429904
400,,,9,F25 1005,ABC-CIAT_6799,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,13.55133911,
401,,,9,F25 1006,ABC-PM21_0055,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,16.61401948,16.4819727
402,,,9,F25 1006,ABC-PM21_0055,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,16.34992592,
403,,,9,F25 1007,ABC-PM21_6529,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,12.65050808,12.68034511
404,,,9,F25 1007,ABC-PM21_6529,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,12.71018213,
405,,,9,F25 1008,ABC-PM21_0047,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.15671899,14.14910959
406,,,9,F25 1008,ABC-PM21_0047,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.14150019,
407,,,9,F25 1009,ABC-PM21_2195,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,15.47973651,15.4919462
408,,,9,F25 1009,ABC-PM21_2195,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,15.50415588,
409,,,9,F25 1010,ABC-PM21_2627,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,17.32019145,17.29271543
410,,,9,F25 1010,ABC-PM21_2627,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,17.2652394,
411,,,9,F25 1011,ABC-PM21_0059,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,16.6753137,16.70851284
412,,,9,F25 1011,ABC-PM21_0059,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,16.74171199,
413,,,9,F25 1012,ABC-PM21_3522,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,13.19408879,13.12453464
414,,,9,F25 1012,ABC-PM21_3522,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,13.05498049,
415,,,9,F25 1013,ABC-PM21_0062,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,13.54174136,13.4700851
416,,,9,F25 1013,ABC-PM21_0062,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,13.39842885,
417,,,9,F25 1014,ABC-PM21_0906,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,,,14.75111841,14.66534725
418,,,9,F25 1014,ABC-PM21_0906,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,,,14.5795761,
419,,,9,F24 3501,ABC-19213-1,Clitoria,ternatea,Clitoria ternatea,A,,,,,,,31.12,31.12
420,,,9,F24 3501,ABC-19213-1,Clitoria,ternatea,Clitoria ternatea,B,,,,,,,31.12,
421,,,9,F24 3502,ABC-19421-1,Uraria,lagopodioides,Uraria lagopodioides,A,,,,,,,20.04,20.04
422,,,9,F24 3502,ABC-19421-1,Uraria,lagopodioides,Uraria lagopodioides,B,,,,,,,20.04,
423,,,9,F24 3503,ABC-19566-1,Tephrosia,noctiflora,Tephrosia noctiflora,A,,,,,,,25.36,25.36
424,,,9,F24 3503,ABC-19566-1,Tephrosia,noctiflora,Tephrosia noctiflora,B,,,,,,,25.36,
425,,,9,F24 3504,ABC-19667-1,Indigofera,hirsuta,Indigofera hirsuta,A,,,,,,,26,26
426,,,9,F24 3504,ABC-19667-1,Indigofera,hirsuta,Indigofera hirsuta,B,,,,,,,26,
427,,,9,F24 3505,ABC-19673-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,,,,,,,25.41,25.41
428,,,9,F24 3505,ABC-19673-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,,,,,,,25.41,
429,,,9,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
430,,,9,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
431,,,9,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
432,,,9,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
433,,,9,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
434,,,9,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
435,,,10,F24-3506,ABC-19895-1,Aeschynomene ,americana,Aeschynomene americana,A,,,,,,,25.26,25.26
436,,,10,F24-3506,ABC-19895-1,Aeschynomene ,americana,Aeschynomene americana,B,,,,,,,25.26,
437,,,10,F24-3507,ABC-20093-1,Canavalia ,sp.,Canavalia sp.,A,,,,,,,24.07,24.07
438,,,10,F24-3507,ABC-20093-1,Canavalia ,sp.,Canavalia sp.,B,,,,,,,24.07,
439,,,10,F24-3508,ABC-20113-1,Canavalia ,sp.,Canavalia sp.,A,,,,,,,18.07,18.07
440,,,10,F24-3508,ABC-20113-1,Canavalia ,sp.,Canavalia sp.,B,,,,,,,18.07,
441,,,10,F24-3509,ABC-20125-1,Coursetia ,caribaea,Coursetia caribaea,A,,,,,,,20.44,20.44
442,,,10,F24-3509,ABC-20125-1,Coursetia ,caribaea,Coursetia caribaea,B,,,,,,,20.44,
443,,,10,F24-3510,ABC-20298-1,Canavalia ,sp.,Canavalia sp.,A,,,,,,,22.85,22.85
444,,,10,F24-3510,ABC-20298-1,Canavalia ,sp.,Canavalia sp.,B,,,,,,,22.85,
445,,,10,F24-3511,ABC-20305-1,Canavalia ,sp.,Canavalia sp.,A,,,,,,,23.35,23.35
446,,,10,F24-3511,ABC-20305-1,Canavalia ,sp.,Canavalia sp.,B,,,,,,,23.35,
447,,,10,F24-3512,ABC-20803-1,Canavalia ,sp.,Canavalia sp.,A,,,,,,,22.07,22.07
448,,,10,F24-3512,ABC-20803-1,Canavalia ,sp.,Canavalia sp.,B,,,,,,,22.07,
449,,,10,F24-3513,ABC-21031-1,Christia ,obcordata,Christia obcordata,A,,,,,,,20.42,20.42
450,,,10,F24-3513,ABC-21031-1,Christia ,obcordata,Christia obcordata,B,,,,,,,20.42,
451,,,10,F24-3514,ABC-21128-1,Crotalaria,pallida,Crotalaria pallida,A,,,,,,,29.38,29.38
452,,,10,F24-3514,ABC-21128-1,Crotalaria,pallida,Crotalaria pallida,B,,,,,,,29.38,
453,,,10,F24-3515,ABC-21212-1,Canavalia ,sp.,Canavalia sp.,A,,,,,,,23.03,22.98
454,,,10,F24-3515,ABC-21212-1,Canavalia ,sp.,Canavalia sp.,B,,,,,,,22.93,
455,,,10,F24-3516,ABC-21263-1,Sesbania,rostrata,Sesbania rostrata,A,,,,,,,25.01,25.01
456,,,10,F24-3516,ABC-21263-1,Sesbania,rostrata,Sesbania rostrata,B,,,,,,,25.01,
457,,,10,F24-3517,ABC-21514-1,Desmanthus ,virgatus,Desmanthus virgatus,A,,,,,,,23.25,23.25
458,,,10,F24-3517,ABC-21514-1,Desmanthus ,virgatus,Desmanthus virgatus,B,,,,,,,23.25,
459,,,10,F24-3518,ABC-21565-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,A,,,,,,,19.59,19.59
460,,,10,F24-3518,ABC-21565-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,B,,,,,,,19.59,
461,,,10,F24-3519,ABC-21709-1,Crotalaria ,juncea,Crotalaria juncea,A,,,,,,,25.97,25.97
462,,,10,F24-3519,ABC-21709-1,Crotalaria ,juncea,Crotalaria juncea,B,,,,,,,25.97,
463,,,10,F24-3520,ABC-22286-1,Crotalaria,micans,Crotalaria micans,A,,,,,,,25.3,25.3
464,,,10,F24-3520,ABC-22286-1,Crotalaria,micans,Crotalaria micans,B,,,,,,,25.3,
465,,,10,F24-3521,ABC-22475-1,Alysicarpus ,rugosus,Alysicarpus rugosus,A,,,,,,,17.41,17.41
466,,,10,F24-3521,ABC-22475-1,Alysicarpus ,rugosus,Alysicarpus rugosus,B,,,,,,,17.41,
467,,,10,F24-3522,ABC-22481-1,Sesbania,cochinchinensis,Sesbania cochinchinensis,A,,,,,,,31.18,31.18
468,,,10,F24-3522,ABC-22481-1,Sesbania,cochinchinensis,Sesbania cochinchinensis,B,,,,,,,31.18,
469,,,10,F24-3523,ABC-22520-1,Arachis,pusilla,Arachis pusilla,A,,,,,,,20.36,20.36
470,,,10,F24-3523,ABC-22520-1,Arachis,pusilla,Arachis pusilla,B,,,,,,,20.36,
471,,,10,F24-3524,ABC-22570-1,Desmanthus,bicornutus,Desmanthus bicornutus,A,,,,,,,32.64,32.64
472,,,10,F24-3524,ABC-22570-1,Desmanthus,bicornutus,Desmanthus bicornutus,B,,,,,,,32.64,
473,,,10,F24-3525,ABC-22594-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,,,,,,,27.26,27.26
474,,,10,F24-3525,ABC-22594-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,,,,,,,27.26,
475,,,10,F24-3526,ABC-22754-1,Lablab ,purpureus,Lablab purpureus,A,,,,,,,30.03,30.03
476,,,10,F24-3526,ABC-22754-1,Lablab ,purpureus,Lablab purpureus,B,,,,,,,30.03,
477,,,10,F24-3527,ABC-22915-1,Aeschynomene ,villosa,Aeschynomene villosa,A,,,,,,,27.06,27.06
478,,,10,F24-3527,ABC-22915-1,Aeschynomene ,villosa,Aeschynomene villosa,B,,,,,,,27.06,
479,,,10,F24-3528,ABC-23259-1,Desmodium,gangeticum,Desmodium gangeticum,A,,,,,,,23.04,23.04
480,,,10,F24-3528,ABC-23259-1,Desmodium,gangeticum,Desmodium gangeticum,B,,,,,,,23.04,
481,,,10,F24-3529,ABC-23339-1,Desmodium,gangeticum,Desmodium gangeticum,A,,,,,,,22.09,22.09
482,,,10,F24-3529,ABC-23339-1,Desmodium,gangeticum,Desmodium gangeticum,B,,,,,,,22.09,
483,,,10,F24-3530,ABC-23761-1,Uraria,picta,Uraria picta,A,,,,,,,18.09,18.09
484,,,10,F24-3530,ABC-23761-1,Uraria,picta,Uraria picta,B,,,,,,,18.09,
485,,,10,F24-3531,ABC-24360-1,Vigna,umbellata,Vigna umbellata,A,,,,,,,23.17,23.17
486,,,10,F24-3531,ABC-24360-1,Vigna,umbellata,Vigna umbellata,B,,,,,,,23.17,
487,,,10,F24-3532,ABC-24466-1,Vigna,umbellata,Vigna umbellata,A,,,,,,,22.39,22.39
488,,,10,F24-3532,ABC-24466-1,Vigna,umbellata,Vigna umbellata,B,,,,,,,22.39,
489,,,10,F24-3533,ABC-32246-1,Chamaecrista,nictitans,Chamaecrista nictitans,A,,,,,,,26.83,26.83
490,,,10,F24-3533,ABC-32246-1,Chamaecrista,nictitans,Chamaecrista nictitans,B,,,,,,,26.83,
491,,,10,F24-3534,ABC-32365-1,Desmanthus,virgatus,Desmanthus virgatus,A,,,,,,,30.19,30.19
492,,,10,F24-3534,ABC-32365-1,Desmanthus,virgatus,Desmanthus virgatus,B,,,,,,,30.19,
493,,,10,F24-3535,ABC-32373-1,Desmanthus,pubescens,Desmanthus pubescens,A,,,,,,,28.4,28.4
494,,,10,F24-3535,ABC-32373-1,Desmanthus,pubescens,Desmanthus pubescens,B,,,,,,,28.4,
495,,,10,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,,,,#DIV/0!
496,,,10,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,,,,
497,,,10,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,,,,#DIV/0!
498,,,10,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,,,,
499,,,10,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,,,,#DIV/0!
500,,,10,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,,,,,,
501,,,11,F25-0769,AMC-ICARDA-156302,Trifolium,repens,Trifolium repens,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
502,,,11,F25-0769,AMC-ICARDA-156302,Trifolium,repens,Trifolium repens,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
503,,,11,F25-0848,ILRI-2273-27,Trifolium ,burchellianum,Trifolium burchellianum,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
504,,,11,F25-0848,ILRI-2273-27,Trifolium ,burchellianum,Trifolium burchellianum,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
505,,,11,F25-0845,ILRI-21682-24,Leucaena,pallida,Leucaena pallida,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
506,,,11,F25-0845,ILRI-21682-24,Leucaena,pallida,Leucaena pallida,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
507,,,11,F25-0907,ABC-17488-1,Leucaena,leucocephala,Leucaena leucocephala,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
508,,,11,F25-0907,ABC-17488-1,Leucaena,leucocephala,Leucaena leucocephala,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
509,,,11,F25-0863,ILRI-10299-42,Erythrina,abyssinica,Erythrina abyssinica,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
510,,,11,F25-0863,ILRI-10299-42,Erythrina,abyssinica,Erythrina abyssinica,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
511,,,11,F25-0897,ABC-21694-1,Erythrina ,velutina,Erythrina velutina,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
512,,,11,F25-0897,ABC-21694-1,Erythrina ,velutina,Erythrina velutina,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
513,,,11,F25-0878,ILRI-7153-57,Panicum,coloratum,Panicum coloratum,A,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
514,,,11,F25-0878,ILRI-7153-57,Panicum,coloratum,Panicum coloratum,B,,,0,,#DIV/0!,#DIV/0!,#DIV/0!,
